Equilibrium Type,Allow Abandon and Defaults,Costs Multiplier,Fee Shifting Multiplier,Fee Shifting Rule,Issue,Noise Multiplier D,Noise Multiplier P,Noise to Produce Case Strength,Probability Truly Liable,Proportion of Costs at Beginning,Relative Costs,Risk Aversion,Filter,GroupName,OptionSetName,Exploitability,Calculation Time,P Files,D Answers,P Offer,D Offer,Trial,P Win Probability,P Wealth,D Wealth,Total Wealth,Wealth Loss,P Welfare,D Welfare,Pre-Dispute Social Welfare Loss,Social Welfare Loss,Expenditures,False Positive Inaccuracy,False Negative Inaccuracy,Value If Settled,No Suit,No Answer,Settles,P Abandons,D Defaults,P Loses,P Wins,Appropriation
Only Eq,true,0.125,0.5,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,Litigated,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0.5 Moderately Risk Averse,-1.1369999999999999E-13,4,1,1,0.55487,0.482184,0.276467,0.357113,10.4744,9.47772,19.9521,0.0478675,1000.09,999.503,0,0.0478675,0.0478675,0.155732,0.152258,0.581753,0,0,0.689464,0.0340682,0,0.177737,0.09873,0
Only Eq,true,0.125,0.5,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,Settles,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0.5 Moderately Risk Averse,-1.1369999999999999E-13,4,1,1,0.537642,0.625865,0,,10.563,9.3995,19.9625,0.0375,1000.11,999.475,0,0.0375,0.0375,0.163709,0.162944,0.581753,0,0,1,0,0,0,0,0
Only Eq,true,0.125,0.5,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,Tried,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0.5 Moderately Risk Averse,-1.1369999999999999E-13,4,1,1,0.610758,0.177123,1,0.357113,10.3143,9.61075,19.925,0.075,1000.04,999.511,0,0.075,0.075,0.152892,0.134852,,0,0,0,0,0,0.642887,0.357113,0
Only Eq,true,0.125,0.5,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,P Loses,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0.5 Moderately Risk Averse,-1.1369999999999999E-13,4,1,1,0.534895,0.105958,1,0,9.94375,9.98125,19.925,0.075,999.978,999.993,0,0.075,0.075,0.0151476,0.202934,,0,0,0,0,0,1,0,0
Only Eq,true,0.125,0.5,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,P Wins,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0.5 Moderately Risk Averse,-1.1369999999999999E-13,4,1,1,0.747329,0.305237,1,1,10.9813,8.94375,19.925,0.075,1000.16,998.644,0,0.075,0.075,0.400865,0.0122885,,0,0,0,0,0,0,1,0
Only Eq,true,0.125,0.5,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,Truly Liable,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0.5 Moderately Risk Averse,-1.1369999999999999E-13,4,1,1,0.705388,0.680025,0.197712,0.654561,10.6955,9.25961,19.9551,0.0449142,1000.13,999.262,0,0.0449142,0.0449142,0.0072796,0.304523,0.736869,0,0,0.797121,0.00516723,0,0.0682975,0.129415,0
Only Eq,true,0.125,0.5,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,Truly Not Liable,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0.5 Moderately Risk Averse,-1.1369999999999999E-13,4,1,1,0.404358,0.28435,0.355219,0.191562,10.2534,9.69582,19.9492,0.0508207,1000.05,999.743,0,0.0508207,0.0508207,0.304178,0,0.369242,0,0,0.581812,0.0629681,0,0.287173,0.0680465,0
Only Eq,true,0.125,0.5,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,All,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0.5 Risk Neutral,-3.553E-15,6,1,1,0.872366,0.127629,0.827582,0.499991,10.4657,9.46574,19.9315,0.0685343,10.4657,9.46574,0,0.0685343,0.0685343,0.139976,0.122247,0.499986,0,0,0.172418,0,0,0.413798,0.413784,0
Only Eq,true,0.125,0.5,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,Not Litigated,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0.5 Risk Neutral,-3.553E-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Eq,true,0.125,0.5,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,Litigated,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0.5 Risk Neutral,-3.553E-15,6,1,1,0.872366,0.127629,0.827582,0.499991,10.4657,9.46574,19.9315,0.0685343,10.4657,9.46574,0,0.0685343,0.0685343,0.139976,0.122247,0.499986,0,0,0.172418,0,0,0.413798,0.413784,0
Only Eq,true,0.125,0.5,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,Settles,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0.5 Risk Neutral,-3.553E-15,6,1,1,0.499734,0.500238,0,,10.4812,9.48126,19.9625,0.0375,10.4812,9.48126,0,0.0375,0.0375,0.0706966,0.0706979,0.499986,0,0,1,0,0,0,0,0
Only Eq,true,0.125,0.5,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,Tried,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0.5 Risk Neutral,-3.553E-15,6,1,1,0.95,0.05,1,0.499991,10.4625,9.46251,19.925,0.075,10.4625,9.46251,0,0.075,0.075,0.154409,0.132986,,0,0,0,0,0,0.500009,0.499991,0
Only Eq,true,0.125,0.5,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,P Loses,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0.5 Risk Neutral,-3.553E-15,6,1,1,0.95,0.05,1,0,9.94375,9.98125,19.925,0.075,9.94375,9.98125,0,0.075,0.075,0.0142822,0.251686,,0,0,0,0,0,1,0,0
Only Eq,true,0.125,0.5,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,P Wins,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0.5 Risk Neutral,-3.553E-15,6,1,1,0.95,0.05,1,1,10.9813,8.94375,19.925,0.075,10.9813,8.94375,0,0.075,0.075,0.294541,0.014282,,0,0,0,0,0,0,1,0
Only Eq,true,0.125,0.5,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,Truly Liable,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0.5 Risk Neutral,-3.553E-15,6,1,1,0.937431,0.192693,0.827583,0.761709,10.7555,9.17596,19.9315,0.0685344,10.7555,9.17596,0,0.0685344,0.0685344,0.0354587,0.244498,0.877351,0,0,0.172417,0,0,0.197206,0.630377,0
Only Eq,true,0.125,0.5,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,Truly Not Liable,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0.5 Risk Neutral,-3.553E-15,6,1,1,0.807304,0.0625679,0.827581,0.238283,10.176,9.75551,19.9315,0.0685343,10.176,9.75551,0,0.0685343,0.0685343,0.244489,0,0.12264,0,0,0.172419,0,0,0.630383,0.197198,0
Only Eq,true,0.125,1,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,All,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1 Moderately Risk Averse,1.1369999999999999E-13,3,1,1,0.546468,0.448032,0.297227,0.506616,10.4722,9.47914,19.9514,0.048646,1000.09,999.445,0,0.048646,0.048646,0.140289,0.135468,0.509984,0,0,0.678075,0.0246976,0,0.146647,0.15058,0
Only Eq,true,0.125,1,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,Not Litigated,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1 Moderately Risk Averse,1.1369999999999999E-13,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Eq,true,0.125,1,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,Litigated,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1 Moderately Risk Averse,1.1369999999999999E-13,3,1,1,0.546468,0.448032,0.297227,0.506616,10.4722,9.47914,19.9514,0.048646,1000.09,999.445,0,0.048646,0.048646,0.140289,0.135468,0.509984,0,0,0.678075,0.0246976,0,0.146647,0.15058,0
Only Eq,true,0.125,1,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,Settles,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1 Moderately Risk Averse,1.1369999999999999E-13,3,1,1,0.465234,0.554735,0,,10.4912,9.47127,19.9625,0.0375,1000.1,999.496,0,0.0375,0.0375,0.131739,0.133455,0.509984,0,0,1,0,0,0,0,0
Only Eq,true,0.125,1,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,Tried,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1 Moderately Risk Averse,1.1369999999999999E-13,3,1,1,0.739807,0.237681,1,0.506616,10.4696,9.45539,19.925,0.075,1000.07,999.283,0,0.075,0.075,0.170063,0.142015,,0,0,0,0,0,0.493384,0.506616,0
Only Eq,true,0.125,1,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,P Loses,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1 Moderately Risk Averse,1.1369999999999999E-13,3,1,1,0.611692,0.133527,1,0,9.925,10,19.925,0.075,999.97,1000,0,0.075,0.075,0,0.287839,,0,0,0,0,0,1,0,0
Only Eq,true,0.125,1,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,P Wins,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1 Moderately Risk Averse,1.1369999999999999E-13,3,1,1,0.864576,0.339115,1,1,11,8.925,19.925,0.075,1000.16,998.585,0,0.075,0.075,0.335684,0,,0,0,0,0,0,0,1,0
Only Eq,true,0.125,1,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,Truly Liable,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1 Moderately Risk Averse,1.1369999999999999E-13,3,1,1,0.757074,0.659073,0.30119,0.739257,10.7291,9.22215,19.9512,0.0487946,1000.13,999.128,0,0.0487946,0.0487946,0.0166992,0.270942,0.757727,0,0,0.693381,0.00542887,0,0.0785332,0.222657,0
Only Eq,true,0.125,1,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,Truly Not Liable,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1 Moderately Risk Averse,1.1369999999999999E-13,3,1,1,0.33587,0.236999,0.293265,0.267697,10.2154,9.73613,19.9515,0.0484974,1000.04,999.762,0,0.0484974,0.0484974,0.263873,0,0.250808,0,0,0.662769,0.0439656,0,0.214759,0.0785061,0
Only Eq,true,0.125,1,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,All,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1 Risk Neutral,-1.776E-15,5,1,1,0.872366,0.127629,0.827582,0.499991,10.4657,9.46574,19.9315,0.0685343,10.4657,9.46574,0,0.0685343,0.0685343,0.141824,0.118186,0.499986,0,0,0.172418,0,0,0.413798,0.413784,0
Only Eq,true,0.125,1,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,Not Litigated,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1 Risk Neutral,-1.776E-15,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Eq,true,0.125,1,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,Litigated,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1 Risk Neutral,-1.776E-15,5,1,1,0.872366,0.127629,0.827582,0.499991,10.4657,9.46574,19.9315,0.0685343,10.4657,9.46574,0,0.0685343,0.0685343,0.141824,0.118186,0.499986,0,0,0.172418,0,0,0.413798,0.413784,0
Only Eq,true,0.125,1,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,Settles,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1 Risk Neutral,-1.776E-15,5,1,1,0.499734,0.500238,0,,10.4812,9.48126,19.9625,0.0375,10.4812,9.48126,0,0.0375,0.0375,0.0706966,0.0706979,0.499986,0,0,1,0,0,0,0,0
Only Eq,true,0.125,1,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,Tried,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1 Risk Neutral,-1.776E-15,5,1,1,0.95,0.05,1,0.499991,10.4625,9.46251,19.925,0.075,10.4625,9.46251,0,0.075,0.075,0.156643,0.128079,,0,0,0,0,0,0.500009,0.499991,0
Only Eq,true,0.125,1,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,P Loses,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1 Risk Neutral,-1.776E-15,5,1,1,0.95,0.05,1,0,9.925,10,19.925,0.075,9.925,10,0,0.075,0.075,0,0.256154,,0,0,0,0,0,1,0,0
Only Eq,true,0.125,1,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,P Wins,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1 Risk Neutral,-1.776E-15,5,1,1,0.95,0.05,1,1,11,8.925,19.925,0.075,11,8.925,0,0.075,0.075,0.313291,0,,0,0,0,0,0,0,1,0
Only Eq,true,0.125,1,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,Truly Liable,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1 Risk Neutral,-1.776E-15,5,1,1,0.937431,0.192693,0.827583,0.761709,10.7636,9.16784,19.9315,0.0685344,10.7636,9.16784,0,0.0685344,0.0685344,0.0472783,0.236376,0.877351,0,0,0.172417,0,0,0.197206,0.630377,0
Only Eq,true,0.125,1,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,Truly Not Liable,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1 Risk Neutral,-1.776E-15,5,1,1,0.807304,0.0625679,0.827581,0.238283,10.1678,9.76363,19.9315,0.0685343,10.1678,9.76363,0,0.0685343,0.0685343,0.236367,0,0.12264,0,0,0.172419,0,0,0.630383,0.197198,0
Only Eq,true,0.125,1.5,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,All,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1.5 Moderately Risk Averse,-1.1369999999999999E-13,3,1,1,0.5316,0.442815,0.28452,0.524943,10.4672,9.48465,19.9518,0.0481695,1000.08,999.442,0,0.0481695,0.0481695,0.138941,0.137776,0.48895,0,0,0.697636,0.0178432,0,0.135163,0.149357,0
Only Eq,true,0.125,1.5,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,Not Litigated,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1.5 Moderately Risk Averse,-1.1369999999999999E-13,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Eq,true,0.125,1.5,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,Litigated,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1.5 Moderately Risk Averse,-1.1369999999999999E-13,3,1,1,0.5316,0.442815,0.28452,0.524943,10.4672,9.48465,19.9518,0.0481695,1000.08,999.442,0,0.0481695,0.0481695,0.138941,0.137776,0.48895,0,0,0.697636,0.0178432,0,0.135163,0.149357,0
Only Eq,true,0.125,1.5,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,Settles,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1.5 Moderately Risk Averse,-1.1369999999999999E-13,3,1,1,0.443494,0.534407,0,,10.4702,9.4923,19.9625,0.0375,1000.09,999.515,0,0.0375,0.0375,0.123957,0.133554,0.48895,0,0,1,0,0,0,0,0
Only Eq,true,0.125,1.5,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,Tried,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1.5 Moderately Risk Averse,-1.1369999999999999E-13,3,1,1,0.75275,0.242869,1,0.524943,10.4902,9.43475,19.925,0.075,1000.07,999.228,0,0.075,0.075,0.183401,0.146787,,0,0,0,0,0,0.475057,0.524943,0
Only Eq,true,0.125,1.5,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,P Loses,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1.5 Moderately Risk Averse,-1.1369999999999999E-13,3,1,1,0.62543,0.137854,1,0,9.90625,10.0188,19.925,0.075,999.962,1000.01,0,0.075,0.075,0,0.308989,,0,0,0,0,0,1,0,0
Only Eq,true,0.125,1.5,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,P Wins,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1.5 Moderately Risk Averse,-1.1369999999999999E-13,3,1,1,0.867971,0.337905,1,1,11.0188,8.90625,19.925,0.075,1000.16,998.524,0,0.075,0.075,0.349374,0,,0,0,0,0,0,0,1,0
Only Eq,true,0.125,1.5,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,Truly Liable,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1.5 Moderately Risk Averse,-1.1369999999999999E-13,3,1,1,0.751756,0.65616,0.298729,0.744351,10.7286,9.22269,19.9513,0.0487024,1000.13,999.117,0,0.0487024,0.0487024,0.0208462,0.275557,0.750892,0,0,0.695696,0.005575,0,0.0763699,0.222359,0
Only Eq,true,0.125,1.5,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,Truly Not Liable,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1.5 Moderately Risk Averse,-1.1369999999999999E-13,3,1,1,0.311452,0.229478,0.270312,0.282477,10.2058,9.74661,19.9524,0.0476367,1000.04,999.766,0,0.0476367,0.0476367,0.257031,0,0.228472,0,0,0.699577,0.030111,0,0.193955,0.0763569,0
Only Eq,true,0.125,1.5,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,All,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1.5 Risk Neutral,0,3,1,1,0.872366,0.127629,0.827582,0.499991,10.4657,9.46574,19.9315,0.0685343,10.4657,9.46574,0,0.0685343,0.0685343,0.149583,0.120035,0.499986,0,0,0.172418,0,0,0.413798,0.413784,0
Only Eq,true,0.125,1.5,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,Not Litigated,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1.5 Risk Neutral,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Eq,true,0.125,1.5,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,Litigated,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1.5 Risk Neutral,0,3,1,1,0.872366,0.127629,0.827582,0.499991,10.4657,9.46574,19.9315,0.0685343,10.4657,9.46574,0,0.0685343,0.0685343,0.149583,0.120035,0.499986,0,0,0.172418,0,0,0.413798,0.413784,0
Only Eq,true,0.125,1.5,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,Settles,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1.5 Risk Neutral,0,3,1,1,0.499734,0.500238,0,,10.4812,9.48126,19.9625,0.0375,10.4812,9.48126,0,0.0375,0.0375,0.0706966,0.0706979,0.499986,0,0,1,0,0,0,0,0
Only Eq,true,0.125,1.5,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,Tried,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 1.5 Risk Neutral,0,3,1,1,0.95,0.05,1,0.499991,10.4625,9.46251,19.925,0.075,10.4625,9.46251,0,0.075,0.075,0.166018,0.130313,,0,0,0,0,0,0.500009,0.499991,0
